district,property_type,bedrooms,bathrooms,floors,land_perches,floor_area_sqft,age_years,has_garage,has_pool,furnished,price_lkr
Colombo,Apartment,3,3,1,10.4,1123.0,9,1,0,0,86784469
Colombo,House,4,4,2,32.2,1690.0,17,1,0,1,211609743
Negombo,House,4,4,2,4.2,1711.0,29,0,0,0,58289978
Kandy,House,4,4,2,19.4,1621.0,3,0,0,0,52419468
Anuradhapura,Apartment,3,3,3,6.1,1470.0,30,1,0,0,15683854
Kurunegala,House,3,2,2,30.0,1333.0,8,1,0,0,27195719
Kandy,Villa,3,3,2,26.6,1355.0,26,0,1,0,85446421
Colombo,House,4,4,1,14.4,1373.0,11,0,0,0,123278120
Kandy,House,2,2,1,7.6,836.0,27,1,0,1,32734200
Negombo,House,1,1,2,19.1,612.0,16,1,0,0,38826002
Colombo,Land & House,4,3,3,6.5,1847.0,11,0,1,0,204423899
Negombo,Villa,2,1,2,7.2,1103.0,6,1,0,0,81337505
Kandy,House,5,5,1,18.8,2105.0,38,0,0,0,56949609
Negombo,Apartment,5,4,1,75.0,1967.0,23,0,0,1,96806030
Galle,House,2,1,2,37.3,876.0,7,0,0,1,60243601
Kandy,Land & House,2,2,2,17.5,965.0,3,0,0,0,48560959
Ratnapura,Apartment,3,2,2,15.6,1409.0,22,1,1,0,24108264
Matara,House,4,3,2,100.4,1748.0,40,0,0,1,41467358
Colombo,Apartment,3,2,1,15.9,1298.0,5,0,0,1,106165280
Anuradhapura,House,4,3,3,12.2,1840.0,32,1,1,0,29890725
Galle,Land & House,3,2,2,40.0,1313.0,2,1,0,0,106586718
Anuradhapura,House,3,3,1,8.0,1375.0,36,0,0,1,18127878
Kurunegala,Apartment,1,1,1,5.5,505.0,20,0,0,0,6138202
Kandy,House,4,4,3,19.1,1748.0,7,1,0,0,65544132
Colombo,Villa,2,1,3,5.5,1297.0,6,0,0,1,164070289
Colombo,Villa,4,4,1,11.0,1400.0,15,0,0,1,184971602
Galle,Apartment,3,2,1,12.3,,13,1,0,0,34950097
Negombo,Apartment,3,3,1,15.9,1276.0,33,0,0,1,44774579
Colombo,Land & House,5,5,1,75.8,1991.0,21,0,0,0,401158142
Colombo,House,5,5,2,7.7,2091.0,12,0,0,0,171209007
Kurunegala,House,3,3,2,11.1,1219.0,34,0,0,1,19885157
Badulla,House,2,1,2,6.1,994.0,13,0,1,1,18007795
Galle,Land & House,4,4,2,18.0,1672.0,26,0,0,0,80859432
Colombo,House,3,2,1,23.5,1146.0,25,1,0,0,111379226
Colombo,Villa,2,2,1,13.9,991.0,33,0,0,1,132423897
Colombo,Apartment,5,5,1,8.2,1795.0,1,0,0,0,109824434
Anuradhapura,House,2,2,1,18.5,881.0,13,0,0,0,14091582
Colombo,House,1,1,1,15.6,619.0,9,0,0,0,67887495
Negombo,House,1,1,2,6.8,688.0,10,0,0,0,30904703
Colombo,House,4,3,2,11.8,1824.0,9,1,0,1,156867055
Negombo,House,4,4,2,12.6,1756.0,25,0,1,0,80443083
Jaffna,House,3,2,2,64.8,1392.0,6,1,0,0,48042542
Kurunegala,Land & House,3,3,2,32.4,1386.0,9,0,0,0,30710442
Colombo,Land & House,3,3,2,23.9,1411.0,3,0,0,0,200283306
Colombo,House,4,3,1,36.9,1511.0,4,1,1,0,223256321
Colombo,House,2,2,3,23.9,1019.0,16,0,1,0,136147280
Anuradhapura,House,5,4,1,39.1,1995.0,2,0,0,0,41087068
Anuradhapura,Apartment,2,1,1,4.8,966.0,3,0,0,0,13675328
Negombo,Villa,6,5,1,13.1,2275.0,11,1,0,0,158530979
Negombo,House,2,1,3,24.6,1095.0,0,0,0,0,57511405
Jaffna,House,4,4,3,17.1,1694.0,2,0,0,1,40583255
Colombo,Villa,2,2,2,6.9,1008.0,27,0,0,0,113351348
Anuradhapura,Apartment,2,2,2,10.2,865.0,26,0,0,1,9949316
Kandy,House,5,5,2,9.7,1901.0,7,0,0,0,55987307
Kandy,Apartment,5,4,3,8.5,2197.0,7,1,0,0,57774420
Galle,House,3,2,2,10.3,1273.0,34,0,0,0,42617338
Colombo,House,4,3,3,14.8,1884.0,0,0,0,0,176770556
Colombo,Villa,3,2,1,33.0,1184.0,13,0,0,0,252393255
Matara,Villa,5,5,1,24.3,1839.0,14,1,0,0,62977068
Colombo,House,3,2,2,31.0,1179.0,22,0,0,0,134510436
Negombo,Land & House,3,2,1,36.3,1114.0,36,0,0,1,77824750
Colombo,House,3,2,3,12.1,1418.0,7,1,0,0,134009500
Kandy,Villa,3,3,2,10.4,1227.0,9,1,0,0,77245357
Kandy,Apartment,5,4,3,4.9,2167.0,17,0,0,0,52544155
Kandy,Land & House,2,2,1,44.0,735.0,37,0,0,1,45949521
Jaffna,Land & House,2,1,2,5.0,983.0,30,0,0,0,22565404
Kandy,House,3,2,1,24.3,1224.0,17,0,0,0,43373768
Negombo,Land & House,4,4,2,11.1,1617.0,27,0,0,1,79599396
Galle,Villa,2,1,2,48.6,1042.0,1,0,0,0,124627013
Jaffna,Villa,3,2,3,12.2,1363.0,7,1,0,1,56510754
Ratnapura,House,5,5,2,29.4,1938.0,0,1,0,0,39162313
Matara,Villa,2,1,1,9.0,838.0,3,0,0,0,29001321
Colombo,Land & House,4,3,3,9.3,1918.0,15,0,0,0,165426686
Colombo,House,4,3,1,17.6,1636.0,30,0,1,1,147877805
Colombo,Land & House,3,2,1,97.1,1361.0,15,0,0,1,482366030
Negombo,House,5,4,1,14.9,1862.0,16,0,0,1,75884223
Colombo,House,4,3,3,45.3,1837.0,1,1,0,0,267403040
Galle,Apartment,3,3,1,27.1,1096.0,16,0,0,0,41319450
Negombo,Apartment,3,3,1,27.8,1074.0,9,0,0,1,52861317
Kandy,Apartment,4,3,3,12.6,1872.0,16,0,0,1,47965831
Matara,House,3,2,2,11.3,1272.0,6,0,0,1,29469456
Colombo,Land & House,5,4,1,7.2,2023.0,13,0,0,0,174680067
Colombo,House,3,2,2,53.8,1203.0,8,1,0,0,240550799
Matara,House,3,2,3,52.1,1548.0,12,1,0,0,40201425
Galle,House,2,2,1,24.6,749.0,2,1,1,0,50240636
Jaffna,Apartment,1,1,2,9.3,567.0,8,0,0,1,11908238
Galle,Land & House,1,1,2,8.2,703.0,7,0,0,0,35518344
Colombo,Apartment,5,4,2,71.1,1982.0,20,1,0,1,221763968
Kurunegala,Villa,4,3,1,5.0,1498.0,18,0,0,1,41154702
Kurunegala,House,4,3,2,31.8,1618.0,32,0,1,1,27527002
Jaffna,Apartment,4,4,1,10.6,1728.0,15,1,0,0,29172380
Colombo,Apartment,4,3,2,12.1,1638.0,6,0,0,1,118339139
Negombo,Apartment,3,2,1,30.8,1205.0,22,0,1,0,50130009
Kandy,House,5,4,1,5.4,1879.0,10,0,0,1,56145378
Colombo,Apartment,3,3,1,10.6,,3,0,0,0,82642526
Anuradhapura,Apartment,5,4,2,49.6,1988.0,20,1,0,0,27333739
Colombo,Villa,4,3,1,22.0,1529.0,2,1,0,0,292219276
Ratnapura,Apartment,3,2,1,25.1,1239.0,3,1,0,1,20163357
Galle,House,3,2,1,25.3,1113.0,21,1,0,0,48511597
Colombo,Apartment,3,3,2,4.9,1458.0,21,0,0,0,76699281
Galle,House,2,2,1,7.4,968.0,22,0,0,1,34542634
Anuradhapura,Land & House,3,2,2,14.1,1410.0,5,0,0,0,28175156
Matara,Apartment,3,3,1,10.9,1206.0,28,0,0,0,18862241
Kurunegala,House,2,1,1,11.9,550.0,19,1,0,0,12191520
Jaffna,Land & House,5,5,2,26.8,2092.0,25,1,0,0,58289998
Jaffna,Apartment,4,3,3,4.2,1810.0,19,1,0,1,29817152
Kurunegala,House,5,5,1,20.2,1875.0,13,1,0,0,38943034
Colombo,Apartment,4,3,1,4.0,1360.0,2,0,0,1,94253530
Galle,House,3,3,1,5.0,1249.0,19,0,0,1,37299986
Colombo,Villa,3,3,2,11.9,1205.0,18,0,0,0,152144563
Badulla,Villa,4,4,1,31.6,1561.0,6,0,0,0,39442719
Ratnapura,Land & House,6,6,2,6.3,2490.0,20,1,0,0,50379036
Colombo,Apartment,3,2,1,16.1,1153.0,12,0,0,1,99772590
Jaffna,Apartment,5,5,1,21.0,2021.0,12,0,0,1,34863489
Ratnapura,Villa,5,4,1,7.9,1825.0,7,1,0,0,52831188
Colombo,House,4,3,2,14.8,1760.0,2,0,0,1,190210285
Negombo,Apartment,5,4,2,40.4,1919.0,4,1,0,1,95506795
Anuradhapura,Apartment,3,2,1,14.8,1303.0,21,0,0,0,14118530
Colombo,House,6,5,3,6.6,2637.0,5,0,1,0,194326305
Jaffna,House,4,3,1,18.8,1596.0,0,0,0,0,39144246
Kandy,Land & House,1,1,2,17.5,610.0,40,0,0,0,22105432
Ratnapura,Land & House,5,5,2,4.4,1909.0,4,0,1,0,47511378
Badulla,House,3,2,1,5.4,1160.0,16,0,0,0,16364526
Ratnapura,House,3,2,2,6.6,1461.0,33,0,0,1,19610313
Galle,House,3,2,2,6.2,1362.0,14,1,0,0,49024773
Anuradhapura,Land & House,2,1,1,8.5,694.0,23,0,0,1,11972635
Kurunegala,House,3,2,2,13.1,1237.0,38,0,0,0,18054543
Kandy,Villa,4,4,1,11.0,1675.0,27,0,0,0,73336707
Kurunegala,House,1,1,2,37.2,698.0,12,1,0,1,19087822
Colombo,Apartment,3,2,1,18.2,1076.0,7,1,0,0,95144442
Negombo,House,1,1,2,35.3,473.0,10,0,0,1,46095082
Colombo,Villa,3,2,1,15.2,1137.0,25,1,0,0,160317013
Colombo,House,4,3,1,5.4,1364.0,26,1,0,0,86597322
Colombo,Apartment,4,3,1,13.3,1534.0,26,1,0,0,91210767
Jaffna,House,5,4,1,29.9,2145.0,14,1,0,0,52085113
Kandy,Villa,4,4,2,7.2,1540.0,10,1,0,1,91249488
Matara,Land & House,3,2,1,5.4,1181.0,6,0,0,0,29066965
Colombo,House,5,4,2,10.0,2181.0,0,0,0,0,164672167
Kandy,Land & House,4,4,1,11.4,1624.0,21,0,0,0,61905625
Galle,Apartment,3,3,2,9.5,1335.0,5,0,0,0,44396405
Kurunegala,House,4,3,2,6.2,1685.0,6,1,0,0,29752453
Kandy,House,5,5,3,8.3,2084.0,25,0,0,0,57937407
Negombo,House,4,3,3,21.2,1823.0,1,0,0,0,86355610
Anuradhapura,Villa,3,3,2,11.3,1374.0,34,1,0,0,31827207
Negombo,Villa,4,3,2,19.0,1810.0,0,1,1,0,163432543
Colombo,House,1,1,1,15.5,437.0,35,0,0,1,57755219
Colombo,Apartment,3,3,2,15.9,1331.0,9,1,0,0,116809412
Anuradhapura,Villa,3,2,3,8.3,1405.0,1,0,0,1,43410805
Colombo,Land & House,2,1,1,15.1,872.0,17,0,0,1,106836322
Anuradhapura,Apartment,1,1,2,4.4,728.0,31,1,0,0,6952036
Galle,Land & House,2,1,1,12.5,912.0,9,0,0,0,53689112
Ratnapura,Apartment,4,3,2,16.8,1582.0,18,0,1,0,25628958
Kurunegala,House,4,3,1,7.0,1564.0,39,1,0,0,20903779
Badulla,Villa,6,5,2,8.4,2332.0,4,0,0,0,42237373
Kandy,Apartment,3,2,2,7.7,1451.0,24,1,0,1,36654357
Matara,Apartment,3,3,3,5.1,1483.0,5,0,0,1,21400844
Kandy,Apartment,5,4,2,10.4,1898.0,8,1,1,1,58850618
Galle,Villa,2,1,2,61.9,978.0,5,0,1,0,139020917
Negombo,Villa,4,4,1,10.6,1595.0,9,1,0,1,125071623
Anuradhapura,House,4,4,1,13.3,1574.0,0,0,0,0,30575152
Badulla,House,2,2,1,19.9,798.0,6,0,0,1,13612430
Matara,Apartment,5,5,1,19.7,1841.0,9,1,1,1,35775763
Kandy,Apartment,4,4,1,48.9,1451.0,15,0,0,0,56623860
Kandy,House,1,1,2,33.2,610.0,15,1,0,0,36406878
Matara,Villa,2,1,2,27.7,914.0,13,0,0,0,33053318
Colombo,Apartment,1,1,2,49.4,747.0,5,0,0,0,142734353
Colombo,House,3,3,1,7.9,1109.0,35,0,0,0,70092739
Kandy,House,3,3,1,18.4,1212.0,8,1,0,1,54774205
Kandy,House,3,3,2,36.7,1355.0,4,1,0,0,74070905
Kandy,Land & House,3,3,1,18.7,1294.0,12,0,0,0,57097778
Colombo,House,5,4,1,60.9,2008.0,20,0,0,1,277046816
Colombo,House,3,2,1,5.6,1269.0,0,0,0,0,91296121
Colombo,Apartment,1,1,1,12.7,535.0,5,0,0,0,48631089
Badulla,House,3,2,1,60.8,1095.0,24,0,1,1,23756595
Kandy,House,3,3,1,11.2,1093.0,11,0,0,1,39893290
Kandy,House,3,3,1,24.2,1115.0,8,1,0,0,45636002
Jaffna,Apartment,3,3,2,4.5,1425.0,34,1,0,0,20306495
Colombo,Apartment,2,1,1,21.8,857.0,1,1,1,1,131003877
Ratnapura,House,4,4,1,44.9,1636.0,14,1,0,0,28520566
Matara,House,6,5,3,11.2,2650.0,6,0,0,0,60938850
Colombo,Land & House,3,3,2,4.3,1277.0,1,0,0,0,136073523
Kandy,House,3,3,1,4.4,1203.0,4,0,0,0,41520392
Anuradhapura,House,4,3,3,37.4,1848.0,15,1,0,0,31658288
Ratnapura,House,4,3,1,23.2,1517.0,0,0,0,0,33538081
Galle,Apartment,3,2,1,5.7,1146.0,13,0,0,0,35167242
Negombo,Villa,5,4,3,4.8,2318.0,36,0,0,0,107659855
Colombo,House,3,2,2,28.5,1355.0,23,0,1,0,168384800
Badulla,Villa,3,2,1,28.9,1201.0,7,1,0,1,33883584
Colombo,House,4,3,2,5.9,1619.0,2,1,0,0,134543501
Ratnapura,House,6,6,2,9.4,2467.0,9,0,0,0,45750902
Negombo,Villa,4,3,1,26.7,1449.0,8,0,0,0,128763304
Negombo,House,1,1,1,15.2,545.0,38,1,0,1,30266029
Galle,Apartment,3,3,1,51.1,1248.0,40,0,1,0,54937541
Colombo,House,3,2,3,13.8,1458.0,8,0,0,1,140836033
Colombo,Villa,3,2,1,20.9,1231.0,2,0,0,1,220426761
Colombo,House,4,3,2,14.7,1718.0,32,1,0,0,143916610
Colombo,Land & House,4,4,1,47.0,1546.0,23,0,0,1,272668874
Matara,House,4,3,1,11.6,1551.0,11,1,0,0,34917500
Kandy,Land & House,6,5,2,7.9,2406.0,7,1,0,1,110592613
Colombo,House,3,2,2,9.9,1362.0,9,0,0,0,123201694
Ratnapura,Villa,5,5,1,32.7,1906.0,31,0,0,0,52294468
Anuradhapura,House,4,3,1,14.3,1439.0,3,1,0,1,26997418
Ratnapura,Land & House,3,3,2,10.6,1334.0,23,1,0,0,29950940
Badulla,House,4,3,1,15.8,1576.0,0,0,0,1,26714759
Colombo,House,2,2,1,6.1,859.0,33,0,0,0,46621843
Kandy,Apartment,4,3,2,4.1,1795.0,11,0,0,1,40252625
Matara,House,3,2,2,8.9,1412.0,4,0,0,1,31300805
Jaffna,House,3,3,1,17.9,1112.0,0,0,0,0,31971011
Colombo,Land & House,4,4,2,22.7,1683.0,12,0,0,1,231011601
Kurunegala,Land & House,4,4,3,30.3,1818.0,4,0,0,0,50227350
Colombo,House,2,2,1,43.2,849.0,15,1,0,1,204650495
Colombo,Land & House,1,1,2,12.0,649.0,5,1,0,0,108270844
Galle,Apartment,3,2,1,24.2,1261.0,1,1,0,1,54219597
Negombo,House,3,2,1,5.2,1217.0,11,1,0,1,55331966
Negombo,Villa,5,4,1,4.9,2023.0,13,1,1,1,173196692
Colombo,Apartment,5,4,1,6.0,1924.0,9,0,0,1,106764607
Anuradhapura,Land & House,3,3,2,12.9,1266.0,9,1,0,0,31421186
Colombo,House,4,4,1,7.6,1503.0,13,1,1,0,142037300
Colombo,Apartment,3,3,2,9.1,1410.0,11,1,0,0,89532459
Anuradhapura,House,4,3,1,19.7,1388.0,2,1,0,1,24730716
Ratnapura,House,2,1,1,10.7,715.0,3,0,0,1,16035346
Anuradhapura,House,3,3,2,16.2,1351.0,2,1,0,0,23204527
Kurunegala,Land & House,4,4,2,12.0,1795.0,18,0,0,0,38318084
Jaffna,Villa,1,1,2,,780.0,11,1,0,0,26994337
Negombo,Villa,4,3,2,5.2,1678.0,9,0,1,1,149988079
Colombo,Apartment,4,3,1,8.0,1656.0,23,1,0,0,97424512
Kandy,House,3,3,2,4.9,1357.0,6,0,0,1,40829793
Kandy,House,3,2,1,18.5,1046.0,13,1,0,0,41813637
Colombo,House,5,4,2,27.8,2049.0,1,0,0,0,246672264
Matara,House,4,3,3,10.2,1788.0,20,1,0,0,31383137
Galle,Villa,3,2,1,11.3,1291.0,18,0,0,1,75789177
Colombo,Apartment,3,2,1,29.4,1197.0,23,1,0,0,125004561
Colombo,House,4,4,2,7.8,1572.0,29,1,1,0,128790268
Jaffna,House,3,3,2,5.9,1200.0,21,0,0,1,22279088
Colombo,House,2,1,1,14.4,847.0,26,0,0,0,78906924
Kurunegala,House,3,2,3,19.6,1257.0,7,0,0,0,23963027
Galle,Land & House,5,4,2,17.7,1998.0,6,0,1,1,123805695
Galle,Apartment,4,3,1,22.8,1573.0,35,0,0,1,47438650
Negombo,Villa,6,6,1,4.9,2144.0,32,0,0,1,117198602
Kurunegala,Apartment,4,3,2,12.4,1799.0,12,0,0,0,24688108
Kandy,House,5,5,1,8.1,2019.0,7,0,0,0,65668776
Jaffna,House,2,1,1,25.4,748.0,28,1,0,0,21800600
Negombo,Land & House,4,3,2,34.9,1670.0,6,0,0,1,118645664
Colombo,Villa,1,1,2,9.0,749.0,2,0,1,0,121528959
Anuradhapura,House,4,4,2,5.5,1699.0,15,0,0,1,25237704
Kurunegala,Apartment,3,2,1,8.4,1060.0,0,0,0,0,17055189
Jaffna,Apartment,3,2,2,5.6,1335.0,7,0,0,0,22348870
Kurunegala,Apartment,5,5,3,9.8,2114.0,23,0,0,0,25111126
Anuradhapura,Land & House,5,4,1,15.6,2010.0,5,1,0,1,45867598
Jaffna,Apartment,1,1,2,58.6,710.0,34,1,0,1,20095760
Kurunegala,Apartment,4,3,3,11.6,1818.0,36,1,0,0,18794785
Jaffna,House,3,2,2,7.7,1364.0,24,0,0,0,27023875
Jaffna,House,3,3,2,6.7,1219.0,39,1,1,0,20558723
Negombo,House,4,3,1,6.8,1474.0,11,1,0,1,70768856
Matara,House,3,2,2,7.2,1505.0,13,1,0,0,30836286
Colombo,Villa,5,5,2,25.5,2055.0,25,1,0,0,301334692
Anuradhapura,Villa,2,2,2,4.9,1093.0,10,1,1,0,29986359
Anuradhapura,House,4,4,3,93.3,1873.0,8,1,0,0,41236079
Colombo,Villa,4,4,1,15.1,1681.0,14,1,1,1,266095954
Kurunegala,House,3,2,1,15.8,1000.0,16,0,0,0,20580049
Colombo,House,3,2,1,10.6,1181.0,21,0,0,1,100788411
Kandy,House,4,3,2,21.6,1864.0,17,0,0,1,57869587
Matara,House,4,4,1,13.6,1645.0,20,0,0,0,26297058
Colombo,House,3,2,2,10.0,1482.0,17,0,0,1,110916591
Kurunegala,Apartment,3,2,1,8.6,1199.0,10,0,0,0,18009021
Kurunegala,House,2,1,1,43.0,796.0,2,0,0,0,22505953
Galle,Land & House,2,1,1,9.2,747.0,22,1,1,0,52475441
Colombo,House,3,2,2,12.6,1240.0,0,0,1,0,143714275
Kandy,House,2,1,2,10.5,1080.0,40,1,0,0,28399732
Negombo,House,4,4,3,5.4,1901.0,24,1,1,0,78642183
Badulla,Apartment,4,3,2,7.1,1693.0,17,1,1,0,24741898
Negombo,House,5,4,1,7.2,1950.0,37,0,0,0,59056781
Colombo,Villa,4,3,1,21.7,1564.0,14,0,1,1,296357412
Negombo,Apartment,5,4,3,11.8,2296.0,1,1,0,0,81991345
Galle,Apartment,3,3,2,26.8,1445.0,12,0,1,0,63510690
Matara,Apartment,4,3,1,22.5,1443.0,5,0,0,1,28947327
Colombo,House,6,5,2,7.2,2427.0,7,1,0,1,211684270
Matara,House,4,3,1,16.4,1383.0,9,0,1,0,40682591
Galle,House,1,1,1,24.4,513.0,22,0,1,0,29413735
Ratnapura,Apartment,4,3,1,19.0,1610.0,11,1,1,0,29011400
Kandy,House,5,4,2,17.7,1918.0,10,1,0,0,73336748
Negombo,House,4,3,1,24.2,1508.0,5,0,0,0,82799020
Ratnapura,Land & House,3,3,1,4.9,1200.0,12,0,0,1,26760962
Colombo,House,4,4,1,23.7,1573.0,4,1,0,0,184301365
Ratnapura,Villa,6,5,1,8.8,2222.0,5,0,0,0,63556098
Jaffna,Villa,2,2,2,16.7,882.0,21,1,0,1,39655516
Colombo,House,4,3,1,8.2,1544.0,6,0,0,0,134815274
Kandy,House,3,2,1,31.4,1034.0,0,0,0,1,53496171
Jaffna,House,4,3,3,13.8,1826.0,6,1,0,1,45301152
Colombo,Apartment,4,3,1,19.4,1505.0,15,1,0,0,120214948
Negombo,Apartment,2,2,1,27.7,836.0,24,1,0,0,39019331
Kandy,Villa,2,1,1,37.9,794.0,37,0,0,0,59208155
Negombo,Land & House,4,3,2,23.8,1549.0,20,0,0,1,85722486
Colombo,Apartment,2,1,2,6.4,963.0,9,0,0,0,65149273
Anuradhapura,House,3,2,1,32.9,1293.0,5,0,0,1,26127143
Badulla,House,4,3,2,18.5,1826.0,2,0,0,1,28531020
Ratnapura,Villa,3,3,2,18.1,1593.0,15,1,0,1,46518758
Matara,House,3,2,2,42.1,1519.0,11,0,0,0,39165691
Colombo,House,5,4,1,8.3,1780.0,17,1,0,1,139788725
Matara,Villa,2,1,1,8.1,809.0,4,0,0,1,32591025
Colombo,House,3,2,2,14.8,1347.0,6,0,0,0,139707135
Colombo,Land & House,4,4,2,24.8,1691.0,5,0,0,0,221974476
Kandy,Apartment,4,3,2,12.9,1706.0,23,0,0,0,36955311
Galle,House,5,4,1,19.1,2140.0,3,1,0,0,95161500
Matara,Land & House,5,5,1,13.0,1791.0,14,1,1,0,50326949
Jaffna,House,4,3,2,18.1,1628.0,0,0,0,1,32871112
Galle,House,2,2,2,29.9,1164.0,12,0,0,0,53333779
Colombo,House,1,1,1,7.0,438.0,1,1,0,0,65149510
Badulla,House,3,3,1,21.8,1239.0,3,1,0,1,22258566
Kandy,Apartment,2,1,1,27.2,953.0,2,1,0,0,39418142
Galle,House,4,4,2,12.9,1748.0,7,0,0,0,72176088
Colombo,House,4,3,2,9.9,1719.0,6,0,0,1,145998864
Kurunegala,House,1,1,2,4.2,743.0,24,0,1,0,14247835
Jaffna,Villa,4,4,2,27.9,1610.0,4,0,1,0,85240110
Colombo,Villa,2,1,1,10.0,800.0,1,0,0,0,131521370
Colombo,House,3,3,2,10.6,1403.0,14,1,0,0,119196622
Jaffna,House,4,3,3,10.1,1643.0,17,0,0,1,37609489
Jaffna,House,3,2,3,14.4,1641.0,5,0,0,0,34437123
Colombo,House,3,2,2,22.2,1380.0,14,1,0,0,132712138
Ratnapura,Villa,2,1,1,26.2,865.0,22,1,0,0,22874635
Colombo,Villa,3,3,2,11.5,1186.0,7,0,0,0,182091052
Galle,House,4,4,2,20.3,1571.0,11,1,0,0,68851286
Ratnapura,House,5,4,2,23.1,2010.0,2,0,0,0,39837287
Kandy,House,3,3,1,9.3,1280.0,0,0,0,1,48508768
Negombo,Apartment,3,2,3,5.5,1292.0,39,0,0,0,27570293
Kandy,House,4,4,1,37.8,1628.0,5,0,0,0,68845872
Colombo,Land & House,5,4,1,21.0,1863.0,5,0,0,0,258103003
Badulla,Villa,3,3,1,19.7,1177.0,38,1,1,0,28330257
Kandy,House,3,2,2,4.9,1375.0,19,0,0,1,45110899
Anuradhapura,Apartment,4,4,1,29.5,1576.0,13,1,0,1,22322480
Colombo,Land & House,4,4,1,16.5,1478.0,18,0,0,0,178778488
Colombo,Apartment,2,1,2,32.2,1062.0,19,0,0,0,93801220
Colombo,House,4,4,2,59.1,1468.0,21,1,0,1,232468222
Jaffna,House,2,1,2,51.2,954.0,1,0,0,0,32961598
Kandy,Villa,3,2,1,33.1,1215.0,8,0,0,0,76306553
Anuradhapura,Apartment,3,3,2,4.2,1315.0,5,0,0,1,18867298
Galle,Apartment,5,4,1,36.5,1717.0,1,0,0,0,68181446
Ratnapura,Land & House,3,2,1,5.2,1275.0,8,0,0,1,26928478
Colombo,Land & House,3,2,1,32.6,1075.0,14,0,1,1,246828325
Anuradhapura,Land & House,2,1,2,8.9,993.0,3,1,0,1,25096118
Matara,House,5,4,1,18.1,1915.0,6,1,0,0,46273100
Matara,Apartment,2,2,1,4.6,851.0,15,1,0,0,12180315
Kurunegala,Villa,3,3,1,26.1,1316.0,13,1,0,0,40203335
Matara,Villa,2,1,1,5.8,844.0,28,1,0,1,31393396
Negombo,Apartment,4,3,3,11.9,1892.0,22,0,0,1,62692767
Colombo,House,3,3,3,29.5,1494.0,37,0,0,0,119135233
Colombo,Villa,3,2,1,21.8,1261.0,14,0,0,1,222934560
Ratnapura,Villa,3,2,1,4.1,1339.0,18,1,0,0,31776538
Negombo,House,5,5,1,11.7,1913.0,27,0,0,1,80169022
Kurunegala,Apartment,3,3,2,4.6,1428.0,25,0,0,1,14345949
Galle,House,4,3,1,20.8,1695.0,19,0,0,1,68531551
Colombo,House,5,5,1,56.1,2035.0,11,0,0,0,281238155
Colombo,House,5,5,2,20.0,2011.0,5,0,0,1,179058001
Jaffna,House,3,3,1,7.8,1303.0,29,1,0,1,26280895
Galle,Apartment,6,5,1,10.6,2274.0,22,0,1,0,69876097
Colombo,Apartment,1,1,1,60.4,611.0,25,0,0,0,113971225
Galle,Apartment,3,3,1,7.8,1256.0,2,0,0,0,35776384
Colombo,Villa,5,5,2,16.4,2077.0,6,0,0,1,299086290
Negombo,House,3,2,3,11.7,1543.0,8,0,0,1,64541330
Colombo,House,3,2,1,25.9,1225.0,25,0,1,0,137967568
Kurunegala,Land & House,3,2,1,34.3,1229.0,30,0,0,1,28582702
Kandy,House,4,3,3,10.3,1834.0,5,0,0,0,57273943
Galle,Land & House,3,2,2,20.2,1324.0,17,0,0,1,72249330
Colombo,Villa,4,4,1,15.9,1726.0,1,0,0,0,269525651
Colombo,Apartment,5,4,2,8.9,2097.0,8,1,0,1,149411543
Kandy,Land & House,4,3,1,8.8,1492.0,10,0,1,0,68115732
Galle,House,2,1,2,15.6,972.0,21,1,0,0,39022557
Negombo,House,5,4,3,6.5,2305.0,30,0,1,0,87878355
Kandy,Apartment,3,3,2,29.0,1276.0,6,0,0,0,38149130
Jaffna,House,2,2,1,5.1,701.0,11,1,0,0,17799231
Anuradhapura,Land & House,2,1,1,5.5,709.0,16,1,0,0,15712474
Matara,House,3,2,2,10.3,1177.0,6,0,0,1,20650387
Colombo,Apartment,2,1,2,5.9,870.0,39,0,0,0,39927648
Galle,Apartment,2,1,2,13.7,881.0,29,0,0,0,25584810
Colombo,Apartment,3,3,1,11.7,1338.0,5,0,0,1,98679410
Colombo,House,3,3,2,23.2,1345.0,11,0,0,0,138711971
Badulla,House,4,3,2,49.9,1663.0,4,1,0,0,31255933
Colombo,Villa,4,4,1,25.0,1405.0,11,0,0,0,269444469
Galle,House,4,3,1,7.0,1535.0,17,0,0,0,55199541
Negombo,Villa,3,3,1,45.1,1026.0,1,0,0,1,127240245
Jaffna,Apartment,2,1,2,11.5,963.0,28,1,0,1,15326068
Negombo,Villa,6,5,2,13.6,2606.0,13,0,0,0,176278461
Colombo,Villa,1,1,2,12.2,716.0,40,1,1,0,107436109
Kandy,House,5,5,1,8.9,1879.0,0,1,0,1,70087910
Galle,Apartment,2,1,3,37.8,1219.0,24,1,0,1,49963162
Colombo,Land & House,5,4,2,10.1,1997.0,23,0,0,1,203988682
Kandy,House,3,2,1,17.0,1119.0,2,0,0,0,49472106
Colombo,Land & House,3,3,1,8.1,1370.0,6,0,0,1,152516128
Colombo,Apartment,4,4,1,27.9,1435.0,29,1,0,1,114998374
Kandy,House,3,3,3,26.3,1464.0,11,0,0,0,50066873
Colombo,House,3,3,1,9.3,1230.0,8,0,0,1,126866359
